2019-04-07 01:57:45.677681,47.5113969333 6.79298135,41.9
2019-04-07 01:57:45.832863,47.5113928667 6.7929712,45.2
2019-04-07 01:57:46.105372,47.5113895167 6.79296088333,38.0
2019-04-07 01:57:46.279460,47.5113862833 6.79295021667,39.1
2019-04-07 01:57:46.452147,47.5113836667 6.79293923333,42.3
2019-04-07 01:57:46.759716,47.5113812667 6.79292821667,76.6
2019-04-07 01:57:46.989702,47.51137935 6.79291623333,78.4
2019-04-07 01:57:47.143501,47.5113780833 6.79290456667,65.6
2019-04-07 01:57:47.360100,47.5113770667 6.79289203333,68.0
2019-04-07 01:57:47.513373,47.51137655 6.79288001667,56.1
2019-04-07 01:57:47.655034,47.5113766833 6.79286761667,45.2
2019-04-07 01:57:47.828351,47.5113769 6.79285505,51.2
2019-04-07 01:57:48.115893,47.5113775 6.79284263333,48.5
2019-04-07 01:57:48.245836,47.5113785 6.79282976667,46.4
2019-04-07 01:57:48.429074,47.5113794 6.79281705,49.4
2019-04-07 01:57:48.631078,47.51138 6.79280411667,69.3
2019-04-07 01:57:48.914714,47.5113812333 6.79279065,70.3
2019-04-07 01:57:49.094419,47.5113823167 6.79277785,85.3
2019-04-07 01:57:49.259353,47.5113825667 6.79276355,68.3
2019-04-07 01:57:49.523465,47.5113831667 6.7927495,62.6
2019-04-07 01:57:49.662102,47.5113849 6.79273618333,40.7
2019-04-07 01:57:49.828681,47.5113847833 6.7927215,40.0
2019-04-07 01:57:50.047907,47.511386 6.7927065,39.5
2019-04-07 01:57:50.259622,47.5113871333 6.79269276667,36.3
2019-04-07 01:57:50.428100,47.5113875333 6.79268515,42.2
2019-04-07 01:57:50.725754,47.5113894667 6.79266248333,71.2
2019-04-07 01:57:50.903298,47.5113914833 6.79264706667,68.2
2019-04-07 01:57:51.071228,47.51139255 6.79263125,89.6
2019-04-07 01:57:51.320117,47.5113937167 6.79261445,65.2
2019-04-07 01:57:51.511950,47.51139565 6.79259876667,60.0
2019-04-07 01:57:51.628118,47.5113963 6.79258036667,52.3
2019-04-07 01:57:51.904639,47.51139795 6.79256226667,35.6
2019-04-07 01:57:52.079738,47.5113994667 6.79254448333,41.9
2019-04-07 01:57:52.233117,47.5113995167 6.79252575,37.9
2019-04-07 01:57:52.570210,47.5114012833 6.79250831667,54.8
2019-04-07 01:57:52.766270,47.5114033333 6.79249075,69.6
2019-04-07 01:57:53.092483,47.5114050333 6.79247238333,77.1
2019-04-07 01:57:53.196255,47.5114060333 6.79245308333,61.5
2019-04-07 01:57:53.338128,47.5114081333 6.79243415,62.3
2019-04-07 01:57:53.433815,47.5114090667 6.79241431667,47.2
2019-04-07 01:57:53.699883,47.5114105333 6.79239498333,36.4
2019-04-07 01:57:53.903302,47.5114119333 6.79237485,38.2
2019-04-07 01:57:54.041570,47.5114134333 6.79235521667,31.4
2019-04-07 01:57:54.231763,47.5114151 6.79233555,35.7
2019-04-07 01:57:54.507077,47.5114166167 6.79231513333,39.8
2019-04-07 01:57:54.679853,47.5114179167 6.7922946,74.2
2019-04-07 01:57:54.852519,47.51141925 6.79227396667,67.6
2019-04-07 01:57:55.139727,47.5114208667 6.79225315,79.4
2019-04-07 01:57:55.319474,47.5114223333 6.79223241667,68.6
2019-04-07 01:57:55.483639,47.5114238167 6.79221168333,62.5
2019-04-07 01:57:55.629652,47.5114252667 6.79219096667,54.4
2019-04-07 01:57:55.864307,47.5114267333 6.79217018333,35.6
2019-04-07 01:57:56.046376,47.5114279167 6.79214961667,36.8
2019-04-07 01:57:56.228183,47.5114294833 6.79212901667,41.7
2019-04-07 01:57:56.438436,47.5114309667 6.79210853333,39.7
2019-04-07 01:57:56.690634,47.5114329333 6.79208768333,70.3
2019-04-07 01:57:56.831837,47.5114386667 6.79207071667,72.7
2019-04-07 01:57:57.164439,47.5114406333 6.79204988333,75.8
2019-04-07 01:57:57.322471,47.51144255 6.79202941667,70.1
2019-04-07 01:57:57.437887,47.51144415 6.79200835,69.2
2019-04-07 01:57:57.671959,47.5114461167 6.79198798333,53.1
2019-04-07 01:57:57.875907,47.5114482167 6.791968,37.2
2019-04-07 01:57:58.042573,47.5114504667 6.79194746667,38.1
2019-04-07 01:57:58.309572,47.51145275 6.791927,40.2
2019-04-07 01:57:58.484026,47.5114549167 6.7919063,34.8
2019-04-07 01:57:58.643464,47.51145725 6.79188593333,82.1
2019-04-07 01:57:58.979580,47.51145955 6.79186563333,74.8
2019-04-07 01:57:59.114886,47.5114616 6.79184513333,78.0
2019-04-07 01:57:59.259564,47.5114639 6.79182468333,71.4
2019-04-07 01:57:59.508992,47.5114662333 6.79180466667,60.6
2019-04-07 01:57:59.673600,47.51146885 6.79178361667,38.7
2019-04-07 01:57:59.831833,47.5114711333 6.79176373333,37.7
2019-04-07 01:58:00.117093,47.5114739667 6.79174291667,39.8
2019-04-07 01:58:00.302515,47.5114760667 6.79172283333,38.4
2019-04-07 01:58:00.440236,47.5114787833 6.79170246667,34.7
2019-04-07 01:58:00.757284,47.5114813 6.79168231667,70.2
2019-04-07 01:58:01.005905,47.5114827 6.79166215,79.4
2019-04-07 01:58:01.250202,47.5114852833 6.79164166667,64.9
2019-04-07 01:58:01.360239,47.5114877667 6.79162126667,74.0
2019-04-07 01:58:01.503224,47.5114904333 6.79160066667,60.7
2019-04-07 01:58:01.630347,47.5114932667 6.79157998333,40.8
2019-04-07 01:58:01.914948,47.51149595 6.791559,39.6
2019-04-07 01:58:02.114872,47.5114982833 6.79153796667,40.7
2019-04-07 01:58:02.241621,47.5115014167 6.79151698333,36.2
2019-04-07 01:58:02.450474,47.5115038167 6.79149581667,36.7
2019-04-07 01:58:02.632075,47.5115067667 6.79147486667,74.6
2019-04-07 01:58:02.981174,47.5115093333 6.7914526,79.9
2019-04-07 01:58:03.248926,47.51151215 6.79143223333,67.0
2019-04-07 01:58:03.249661,47.5115147667 6.79141138333,0.0
2019-04-07 01:58:03.492475,47.51151775 6.79138981667,61.7
2019-04-07 01:58:03.652289,47.5115191333 6.79137946667,37.3
2019-04-07 01:58:03.832423,47.5115226 6.79134775,40.8
2019-04-07 01:58:04.071230,47.51152515 6.79132741667,40.2
2019-04-07 01:58:04.285693,47.5115281 6.79130645,40.0
2019-04-07 01:58:04.434132,47.5115307333 6.79128641667,45.6
2019-04-07 01:58:04.753751,47.5115334 6.79126605,71.2
2019-04-07 01:58:04.934398,47.5115354167 6.79124591667,69.4
2019-04-07 01:58:05.091101,47.5115377 6.79122636667,90.3
2019-04-07 01:58:05.355499,47.5115398667 6.7912073,64.8
2019-04-07 01:58:05.514713,47.5115422833 6.7911886,62.3
2019-04-07 01:58:05.632824,47.5115446333 6.7911698,54.7
2019-04-07 01:58:05.899575,47.5115465 6.79115183333,48.8
2019-04-07 01:58:06.070273,47.5115489333 6.79113448333,48.7
